"Sensor_ID","Year","Month","Day","Mdate","Time","Hourly_Counts"
4,2013,1,"Tuesday",1,8,238
17,2013,1,"Tuesday",1,8,74
18,2013,1,"Tuesday",1,8,44
16,2013,1,"Tuesday",1,8,110
2,2013,1,"Tuesday",1,8,108
1,2013,1,"Tuesday",1,8,96
13,2013,1,"Tuesday",1,8,16
3,2013,1,"Tuesday",1,8,150
9,2013,1,"Tuesday",1,8,34
10,2013,1,"Tuesday",1,8,27
12,2013,1,"Tuesday",1,8,98
11,2013,1,"Tuesday",1,8,51
8,2013,1,"Tuesday",1,8,57
7,2013,1,"Tuesday",1,8,34
5,2013,1,"Tuesday",1,8,158
6,2013,1,"Tuesday",1,8,169
14,2013,1,"Tuesday",1,8,111
4,2013,1,"Tuesday",1,9,413
17,2013,1,"Tuesday",1,9,117
18,2013,1,"Tuesday",1,9,77
16,2013,1,"Tuesday",1,9,161
2,2013,1,"Tuesday",1,9,225
1,2013,1,"Tuesday",1,9,255
13,2013,1,"Tuesday",1,9,36
3,2013,1,"Tuesday",1,9,299
9,2013,1,"Tuesday",1,9,36
10,2013,1,"Tuesday",1,9,66
12,2013,1,"Tuesday",1,9,115
11,2013,1,"Tuesday",1,9,51
8,2013,1,"Tuesday",1,9,96
7,2013,1,"Tuesday",1,9,100
5,2013,1,"Tuesday",1,9,303
6,2013,1,"Tuesday",1,9,292
14,2013,1,"Tuesday",1,9,113
4,2013,1,"Tuesday",1,10,1084
17,2013,1,"Tuesday",1,10,127
18,2013,1,"Tuesday",1,10,78
16,2013,1,"Tuesday",1,10,392
2,2013,1,"Tuesday",1,10,794
1,2013,1,"Tuesday",1,10,759
13,2013,1,"Tuesday",1,10,52
3,2013,1,"Tuesday",1,10,735
9,2013,1,"Tuesday",1,10,61
10,2013,1,"Tuesday",1,10,102
12,2013,1,"Tuesday",1,10,209
11,2013,1,"Tuesday",1,10,92
8,2013,1,"Tuesday",1,10,119
7,2013,1,"Tuesday",1,10,162
5,2013,1,"Tuesday",1,10,583
6,2013,1,"Tuesday",1,10,510
14,2013,1,"Tuesday",1,10,166
4,2013,1,"Tuesday",1,11,1596
17,2013,1,"Tuesday",1,11,208
18,2013,1,"Tuesday",1,11,75
16,2013,1,"Tuesday",1,11,762
2,2013,1,"Tuesday",1,11,1200
1,2013,1,"Tuesday",1,11,1276
13,2013,1,"Tuesday",1,11,47
3,2013,1,"Tuesday",1,11,588
9,2013,1,"Tuesday",1,11,87
10,2013,1,"Tuesday",1,11,70
12,2013,1,"Tuesday",1,11,369
11,2013,1,"Tuesday",1,11,219
8,2013,1,"Tuesday",1,11,178
7,2013,1,"Tuesday",1,11,230
5,2013,1,"Tuesday",1,11,1185
6,2013,1,"Tuesday",1,11,807
14,2013,1,"Tuesday",1,11,259
4,2013,1,"Tuesday",1,12,2000
17,2013,1,"Tuesday",1,12,243
18,2013,1,"Tuesday",1,12,92
16,2013,1,"Tuesday",1,12,766
2,2013,1,"Tuesday",1,12,1740
1,2013,1,"Tuesday",1,12,1411
13,2013,1,"Tuesday",1,12,59
3,2013,1,"Tuesday",1,12,1630
9,2013,1,"Tuesday",1,12,93
10,2013,1,"Tuesday",1,12,72
12,2013,1,"Tuesday",1,12,533
11,2013,1,"Tuesday",1,12,266
8,2013,1,"Tuesday",1,12,203
7,2013,1,"Tuesday",1,12,306
5,2013,1,"Tuesday",1,12,1440
6,2013,1,"Tuesday",1,12,984
14,2013,1,"Tuesday",1,12,341
4,2013,1,"Tuesday",1,13,2228
17,2013,1,"Tuesday",1,13,203
18,2013,1,"Tuesday",1,13,102
16,2013,1,"Tuesday",1,13,782
2,2013,1,"Tuesday",1,13,1940
1,2013,1,"Tuesday",1,13,1700
13,2013,1,"Tuesday",1,13,35
3,2013,1,"Tuesday",1,13,2118
9,2013,1,"Tuesday",1,13,82
10,2013,1,"Tuesday",1,13,51
12,2013,1,"Tuesday",1,13,635
11,2013,1,"Tuesday",1,13,342
8,2013,1,"Tuesday",1,13,174
7,2013,1,"Tuesday",1,13,281
5,2013,1,"Tuesday",1,13,1445
6,2013,1,"Tuesday",1,13,1051
14,2013,1,"Tuesday",1,13,371
4,2013,1,"Tuesday",1,14,2328
17,2013,1,"Tuesday",1,14,156
18,2013,1,"Tuesday",1,14,79
16,2013,1,"Tuesday",1,14,695
2,2013,1,"Tuesday",1,14,2090
1,2013,1,"Tuesday",1,14,2149
13,2013,1,"Tuesday",1,14,45
3,2013,1,"Tuesday",1,14,2191
9,2013,1,"Tuesday",1,14,90
10,2013,1,"Tuesday",1,14,72
12,2013,1,"Tuesday",1,14,671
11,2013,1,"Tuesday",1,14,461
8,2013,1,"Tuesday",1,14,163
7,2013,1,"Tuesday",1,14,320
5,2013,1,"Tuesday",1,14,1872
6,2013,1,"Tuesday",1,14,1226
14,2013,1,"Tuesday",1,14,493
4,2013,1,"Tuesday",1,15,2301
17,2013,1,"Tuesday",1,15,206
18,2013,1,"Tuesday",1,15,100
16,2013,1,"Tuesday",1,15,625
2,2013,1,"Tuesday",1,15,2073
1,2013,1,"Tuesday",1,15,2129
13,2013,1,"Tuesday",1,15,35
3,2013,1,"Tuesday",1,15,2557
9,2013,1,"Tuesday",1,15,77
10,2013,1,"Tuesday",1,15,87
12,2013,1,"Tuesday",1,15,651
11,2013,1,"Tuesday",1,15,467
8,2013,1,"Tuesday",1,15,175
7,2013,1,"Tuesday",1,15,503
5,2013,1,"Tuesday",1,15,1839
6,2013,1,"Tuesday",1,15,1235
14,2013,1,"Tuesday",1,15,447
4,2013,1,"Tuesday",1,16,2148
17,2013,1,"Tuesday",1,16,194
18,2013,1,"Tuesday",1,16,59
16,2013,1,"Tuesday",1,16,529
2,2013,1,"Tuesday",1,16,1797
1,2013,1,"Tuesday",1,16,1986
13,2013,1,"Tuesday",1,16,45
3,2013,1,"Tuesday",1,16,2193
9,2013,1,"Tuesday",1,16,88
10,2013,1,"Tuesday",1,16,91
12,2013,1,"Tuesday",1,16,564
11,2013,1,"Tuesday",1,16,345
8,2013,1,"Tuesday",1,16,214
7,2013,1,"Tuesday",1,16,261
5,2013,1,"Tuesday",1,16,1527
6,2013,1,"Tuesday",1,16,1146
14,2013,1,"Tuesday",1,16,464
4,2013,1,"Tuesday",1,17,1735
17,2013,1,"Tuesday",1,17,192
18,2013,1,"Tuesday",1,17,59
16,2013,1,"Tuesday",1,17,341
2,2013,1,"Tuesday",1,17,994
1,2013,1,"Tuesday",1,17,1424
13,2013,1,"Tuesday",1,17,62
3,2013,1,"Tuesday",1,17,2079
9,2013,1,"Tuesday",1,17,78
10,2013,1,"Tuesday",1,17,137
12,2013,1,"Tuesday",1,17,511
11,2013,1,"Tuesday",1,17,321
8,2013,1,"Tuesday",1,17,147
7,2013,1,"Tuesday",1,17,277
5,2013,1,"Tuesday",1,17,1422
6,2013,1,"Tuesday",1,17,1048
14,2013,1,"Tuesday",1,17,458
4,2013,1,"Tuesday",1,18,1558
17,2013,1,"Tuesday",1,18,149
18,2013,1,"Tuesday",1,18,53
16,2013,1,"Tuesday",1,18,306
2,2013,1,"Tuesday",1,18,712
1,2013,1,"Tuesday",1,18,1090
13,2013,1,"Tuesday",1,18,32
3,2013,1,"Tuesday",1,18,1893
9,2013,1,"Tuesday",1,18,93
10,2013,1,"Tuesday",1,18,135
12,2013,1,"Tuesday",1,18,528
11,2013,1,"Tuesday",1,18,207
8,2013,1,"Tuesday",1,18,134
7,2013,1,"Tuesday",1,18,385
5,2013,1,"Tuesday",1,18,1160
6,2013,1,"Tuesday",1,18,1013
14,2013,1,"Tuesday",1,18,474
4,2013,1,"Tuesday",1,19,1374
17,2013,1,"Tuesday",1,19,126
18,2013,1,"Tuesday",1,19,33
16,2013,1,"Tuesday",1,19,324
2,2013,1,"Tuesday",1,19,569
1,2013,1,"Tuesday",1,19,888
13,2013,1,"Tuesday",1,19,42
3,2013,1,"Tuesday",1,19,1748
9,2013,1,"Tuesday",1,19,86
10,2013,1,"Tuesday",1,19,91
12,2013,1,"Tuesday",1,19,462
11,2013,1,"Tuesday",1,19,183
8,2013,1,"Tuesday",1,19,62
